"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-avl.2025-05-27_11-34-14-000.f_018.de0","51.01505390084459,6.922649077666855,51.03329526550847,6.959557528832225","51.01505390084459,6.922649077666855","WARNING","A1 | Köln-Nord - Leverkusener Brücke"," Euskirchen -> Dortmund",1,"SLOW_TRAFFIC","47.70000076293945",2025-05-27,"Beginn: 27.05.25 um 11:34 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 11:34 A1: Euskirchen -> Dortmund, zwischen 3.0 km hinter AK Köln-Nord und 0.1 km vor Leverkusener Brücke  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 47 km/h",51.0150539008446,6.92264907766685
"A1","undefined--vi-avl.2025-05-27_12-19-59-000.f_001.de0","51.02537343451987,6.944848694885015,51.02537343451987,6.944848694885015","51.02537343451987,6.944848694885015","WARNING","A1 | Köln-Niehl - Köln-Niehl"," Dortmund -> Köln",NA,"STATIONARY_TRAFFIC","13",2025-05-27,"Beginn: 27.05.25 um 12:22 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 12:22 A1: Dortmund -> Köln, 0.2 km vor AS Köln-Niehl, aus Richtung Leverkusener Brücke  Im Stillstand Durchschnittsgeschwindigkeit: 13 km/h",51.0253734345199,6.94484869488501
"A1","undefined--vi-avl.2025-05-27_08-34-18-000.f_008.de0","51.02532267103843,6.9447679080842635,51.00107540093625,6.900535999996291","51.02532267103843,6.9447679080842635","WARNING","A1 | Leverkusener Brücke - Köln-Nord"," Dortmund -> Euskirchen",7,"STATIONARY_TRAFFIC","25.399999618530273",2025-05-27,"Beginn: 27.05.25 um 08:34 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 08:34 A1: Dortmund -> Euskirchen, zwischen 1.5 km hinter Leverkusener Brücke und 0.8 km vor AK Köln-Nord  Im Stillstand Reisezeitverlust: 7 Minuten Durchschnittsgeschwindigkeit: 25 km/h",51.0253226710384,6.94476790808426
"A1","undefined--vi-avl.2025-05-27_11-34-14-000.f_017.de0","51.03600234096751,6.964443074895931,51.03744308106357,6.987565714040063","51.03600234096751,6.964443074895931","WARNING","A1 | Leverkusen-West - Leverkusen"," Köln -> Dortmund",1,"SLOW_TRAFFIC","45",2025-05-27,"Beginn: 27.05.25 um 11:34 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 11:34 A1: Köln -> Dortmund, zwischen AK Leverkusen-West und 1.5 km vor AK Leverkusen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 45 km/h",51.0360023409675,6.96444307489593
"A1","undefined--vi-avl.2025-05-27_11-48-07-000.f_019.de0","51.496998463345896,7.638274555728903,51.527705815090535,7.659525724450989","51.496998463345896,7.638274555728903","WARNING","A1 | Lichtendorf - Kamen-Zentrum"," Köln -> Münster",2,"SLOW_TRAFFIC","47.20000076293945",2025-05-27,"Beginn: 27.05.25 um 11:48 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 11:48 A1: Köln -> Münster, zwischen 4.4 km hinter Lichtendorf und 5.4 km vor AS Kamen-Zentrum  Langsamer Verkehr Reisezeitverlust: 2 Minuten Durchschnittsgeschwindigkeit: 47 km/h",51.4969984633459,7.6382745557289
"A1","undefined--vi-avl.2025-05-27_06-44-39-000.f_012.de0","53.02342395081075,8.805915266858708,53.03097938183675,8.863459418418467","53.02342395081075,8.805915266858708","WARNING","A1 | Bremen/Brinkum - Bremen-Hemelingen"," Osnabrück -> Bremen",1,"SLOW_TRAFFIC","67",2025-05-27,"Beginn: 27.05.25 um 06:44 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 06:44 A1: Osnabrück -> Bremen, zwischen 0.2 km hinter AS Bremen/Brinkum und 1.8 km vor AS Bremen-Hemelingen  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 67 km/h",53.0234239508108,8.80591526685871
"A1","undefined--vi-avl.2025-05-27_05-46-00-000.f_002.de0","53.064115917181894,9.10932269975515,53.033000547157314,8.867838560855855","53.064115917181894,9.10932269975515","WARNING","A1 | Tuchten - Bremen-Arsten"," Hamburg -> Osnabrück",24,"QUEUING_TRAFFIC","32.400001525878906",2025-05-27,"Beginn: 27.05.25 um 05:46 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 05:46 A1: Hamburg -> Osnabrück, zwischen 1.2 km hinter Tuchten und 0.7 km vor AS Bremen-Arsten  Stockender Verkehr Reisezeitverlust: 24 Minuten Durchschnittsgeschwindigkeit: 32 km/h",53.0641159171819,9.10932269975515
"A1","undefined--vi-hind.2025-05-27_12-12-04-000.f_003.de0","53.23266833670889,9.346052141273601,53.29246690466566,9.509477376498689","53.23266833670889,9.346052141273601","WARNING","A1 | Elsdorf - Ostetal"," Bremen -> Hamburg",NA,NA,NA,2025-05-27,"Beginn: 27.05.25 um 12:12 Uhr  Hindernis, seit 27.05.2025, 12:12 A1: Bremen -> Hamburg, zwischen 0.2 km hinter AS Elsdorf und 1.8 km vor Ostetal  Gefahr durch eine ungesicherte Unfallstelle  Gefahr durch Gegenstände auf der Fahrbahn",53.2326683367089,9.3460521412736
"A1","undefined--vi-zus.2025-05-27_11-58-14-000.f.de0","53.50735147892658,10.084825585306573,53.50952185225808,10.053748212293588","53.50735147892658,10.084825585306573","WARNING","A1 | Hamburg-Moorfleet - Hamburg-Norderelbe"," Lübeck -> Hamburg",1,"SLOW_TRAFFIC","47.900001525878906",2025-05-27,"Beginn: 27.05.25 um 11:58 Uhr  Zusammengesetzte Verkehrsinformation, seit 27.05.2025, 11:58 A1: Lübeck -> Hamburg, zwischen 0.4 km hinter AS Hamburg-Moorfleet und 1.2 km vor AK Hamburg-Norderelbe  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 47 km/h",53.5073514789266,10.0848255853066
"A1","undefined--vi-avl.2025-05-27_12-22-27-000.f_005.de0","54.058439811797825,10.741874203254115,54.058439811797825,10.741874203254115","54.058439811797825,10.741874203254115","WARNING","A1 | Eutin - Eutin"," Fehmarn -> Lübeck",NA,"SLOW_TRAFFIC","23",2025-05-27,"Beginn: 27.05.25 um 12:22 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 12:22 A1: Fehmarn -> Lübeck, 0.9 km vor AS Eutin, aus Richtung Neustädter Bucht  Langsamer Verkehr Durchschnittsgeschwindigkeit: 23 km/h",54.0584398117978,10.7418742032541
"A1","undefined--vi-avl.2025-05-27_11-59-57-000.f.de0","54.058498459395295,10.741968866272137,54.042770754764625,10.728462620217893","54.058498459395295,10.741968866272137","WARNING","A1 | Neustädter Bucht - Scharbeutz"," Fehmarn -> Lübeck",1,"SLOW_TRAFFIC","43.79999923706055",2025-05-27,"Beginn: 27.05.25 um 11:59 Uhr  Angespannte Verkehrslage, seit 27.05.2025, 11:59 A1: Fehmarn -> Lübeck, zwischen 1.6 km hinter Neustädter Bucht und 0.9 km vor AS Scharbeutz  Langsamer Verkehr Reisezeitverlust: 1 Minuten Durchschnittsgeschwindigkeit: 43 km/h",54.0584984593953,10.7419688662721
