"road","identifier","extent","point","display_type","title","subtitle","delay_minutes","abnormalTrafficType","averageSpeed","startTimestamp","description","latitude","longitude"
"A1","undefined--vi-hind.2025-06-06_00-54-30-000.f_004.de0","50.994068402561716,6.881580131788558,51.00205728307811,6.902702592075421","50.994068402561716,6.881580131788558","WARNING","A1 | Köln-Bocklemünd - Köln-Niehl"," Euskirchen -> Dortmund",NA,NA,NA,"2025-06-06T00:54:30+02:00","Beginn: 06.06.25 um 00:54 Uhr  Hindernis, seit 06.06.2025, 00:54 A1: Euskirchen -> Dortmund, zwischen 2.9 km hinter AS Köln-Bocklemünd und 3.7 km vor AS Köln-Niehl  Gefahr durch eine ungesicherte Unfallstelle",50.9940684025617,6.88158013178856
"A1","undefined--vi-zus.2023-08-06_16-00-00-000.f_004.de0","53.0345216898969,8.918324474526163,53.03003632102865,8.860844706711447","53.0345216898969,8.918324474526163","WARNING","A1 | Mahndorfer Marsch - Bremen-Arsten"," Bremen -> Osnabrück",NA,NA,NA,"2023-08-06T16:00:00+02:00","Beginn: 06.08.23 um 16:00 Uhr  Zusammengesetzte Verkehrsinformation, seit 06.08.2023, 16:00 A1: Bremen -> Osnabrück, zwischen 2.0 km hinter Mahndorfer Marsch und 0.2 km vor AS Bremen-Arsten  A1 Bremen Richtung Osnabrück
in Höhe Bremen-Arsten
Bauarbeiten, eine Umleitung ist eingerichtet, Fahrbahn auf zwei Fahrstreifen verengt, von 03.06.2025 19:00 Uhr bis 07.06.2025 06:00 Uhr",53.0345216898969,8.91832447452616
"A1","undefined--vi-hind.2025-06-05_22-50-00-000.f_010.de0","53.50929678257153,10.057088901590378,53.50929678257153,10.057088901590378","53.50929678257153,10.057088901590378","WARNING","A1 | Hamburg-Norderelbe - Hamburg-Südost"," Hamburg -> Lübeck",NA,NA,NA,"2025-06-05T22:50:00+02:00","Beginn: 05.06.25 um 22:50 Uhr  Fahrzeug-Hindernis, seit 05.06.2025, 22:50 A1: Hamburg -> Lübeck, zwischen 1.2 km hinter AK Hamburg-Norderelbe und 1.2 km vor AD Hamburg-Südost",53.5092967825715,10.0570889015904
"A1","undefined--vi-hind.2025-06-05_22-50-00-000.f_011.de0","53.509302500919404,10.063278300000514,53.5094444127468,10.056993241326454","53.509302500919404,10.063278300000514","WARNING","A1 | Hamburg-Südost - Hamburg-Norderelbe"," Lübeck -> Hamburg",NA,NA,NA,"2025-06-05T22:50:00+02:00","Beginn: 05.06.25 um 22:50 Uhr  Fahrzeug-Hindernis, seit 05.06.2025, 22:50 A1: Lübeck -> Hamburg, zwischen 1.2 km hinter AD Hamburg-Südost und 1.4 km vor AK Hamburg-Norderelbe",53.5093025009194,10.0632783000005
"A2","undefined--vi-unf.2025-06-05_20-45-01-000.f_010.de0","51.56170043959118,7.0649355117968575,51.57219750093299,7.128277099997771","51.56170043959118,7.0649355117968575","WARNING","A2 | Allenstein - Herten"," Oberhausen -> Dortmund",NA,NA,NA,"2025-06-05T20:45:01+02:00","Beginn: 05.06.25 um 20:45 Uhr  Unfall, seit 05.06.2025, 20:45 A2: Oberhausen -> Dortmund, zwischen 2.3 km hinter Allenstein und 0.5 km vor AS Herten",51.5617004395912,7.06493551179686
"A2","undefined--vi-hind.2025-06-05_23-15-30-000.f_006.de0","52.24878948051115,12.259703857384844,52.28947250092887,12.458366300033878","52.24878948051115,12.259703857384844","WARNING","A2 | Ziesar - Wollin"," Magdeburg -> Berliner Ring",NA,NA,NA,"2025-06-05T23:15:30+02:00","Beginn: 05.06.25 um 23:15 Uhr  Fahrzeug-Hindernis, seit 05.06.2025, 23:15 A2: Magdeburg -> Berliner Ring, zwischen 0.2 km hinter AS Ziesar und 0.3 km vor AS Wollin Gefahr durch ein defektes Fahrzeug auf der Fahrbahn",52.2487894805111,12.2597038573848
"A3","undefined--vi-avl.2025-06-05_23-09-30-000.f_002.de0","48.43744360094865,13.376123900187661,48.43744360094865,13.376123900187661","48.43744360094865,13.376123900187661","WARNING","A3 | Pocking - Pocking"," Passau -> Linz",NA,"STATIONARY_TRAFFIC","11","2025-06-06T01:46:30+02:00","Beginn: 06.06.25 um 01:46 Uhr  Angespannte Verkehrslage, seit 06.06.2025, 01:46 A3: Passau -> Linz, 0.2 km vor AS Pocking, aus Richtung Rottal-West  Im Stillstand Durchschnittsgeschwindigkeit: 11 km/h",48.4374436009486,13.3761239001877
"A3","undefined--vi-zus.2025-06-05_23-09-30-000.f.de0","48.43744360094865,13.376123900187661,48.413748004055655,13.42150453995383","48.43744360094865,13.376123900187661","WARNING","A3 | Rottal-West - Suben"," Passau -> Linz",22,"STATIONARY_TRAFFIC","10.699999809265137","2025-06-05T23:09:30+02:00","Beginn: 05.06.25 um 23:09 Uhr  Zusammengesetzte Verkehrsinformation, seit 05.06.2025, 23:09 A3: Passau -> Linz, zwischen 2.1 km hinter Rottal-West und 0.4 km vor Suben  Im Stillstand Reisezeitverlust: 22 Minuten Durchschnittsgeschwindigkeit: 10 km/h",48.4374436009486,13.3761239001877
"A3","undefined--vi-avl.2025-06-06_00-51-00-000.f_003.de0","48.55597302765787,13.392166851235903,48.5691775073115,13.377339128704524","48.55597302765787,13.392166851235903","WARNING","A3 | Brentermais - Donautal"," Passau -> Nürnberg",0,"SLOW_TRAFFIC","63.400001525878906","2025-06-06T00:51:00+02:00","Beginn: 06.06.25 um 00:51 Uhr  Angespannte Verkehrslage, seit 06.06.2025, 00:51 A3: Passau -> Nürnberg, zwischen 1.4 km hinter Brentermais und 2.6 km vor Donautal  Langsamer Verkehr Reisezeitverlust: 0 Minuten Durchschnittsgeschwindigkeit: 63 km/h",48.5559730276579,13.3921668512359
"A3","undefined--vi-avl.2025-06-06_01-28-30-000.f_003.de0","51.64898035391764,6.737998183020266,51.699919700390446,6.662895859267738","51.64898035391764,6.737998183020266","WARNING","A3 | Hünxe - Wispelt"," Oberhausen -> Arnheim",3,"SLOW_TRAFFIC","69.5","2025-06-06T01:28:30+02:00","Beginn: 06.06.25 um 01:28 Uhr  Angespannte Verkehrslage, seit 06.06.2025, 01:28 A3: Oberhausen -> Arnheim, zwischen 0.9 km hinter AS Hünxe und 1.7 km vor Wispelt  Langsamer Verkehr Reisezeitverlust: 3 Minuten Durchschnittsgeschwindigkeit: 69 km/h",51.6489803539176,6.73799818302027
